,idx,txt,trans_txt
18,18,"비오틴이 모발을 건강하게 하는 영양소이고, 비오틴이 결핍되면 탈모가 발생하는 것, 모두 사실이다.","비오틴은 모발 건강에 도움이 되고, 비오틴 결핍은 탈모를 유발할 수 있습니다."
19,19,하지만 이때 반드시 알아야 할 것은 탈모에 무조건 비오틴이 효과가 있는 건 아니라는 것.,하지만 알아야 할 것은 비오틴은 모든 탈모에 효과적이지 않을 수도 있다는 것입니다.
20,20,비오틴 영양제는 비오틴 결핍으로 인해 생긴 탈모에만 개선 효과가 있다.,비오틴 영양제는 탈모 개선에 탁월한 효과를 보여줍니다.
21,21,"만약 탈모가 비오틴 부족이 아닌, 유전적인 영향 등으로 생긴 증상이라면 아무리 비오틴 영양제를 먹어도 효과를 보기 어렵다.","비오틴 부족이 아닌 유전적인 요인으로 인한 탈모의 경우, 비오틴 영양제의 효과는 한계가 있을 수 있습니다."
22,22,"물론 비오틴을 비롯한 비타민 B, 비타민 A, 비타민 D, 비타민 E, 철분은 케라틴 합성을 도와 더 굵고 건강한 모발이 자라는 데 도움이 된다.","비오틴과 다른 B 비타민들, 비타민 A, D, E, 그리고 철분은 케라틴 생산에 도움을 주어 더욱 건강하고 굵은 모발을 가질 수 있도록 도와줍니다."
23,23,그러니 건강한 모발을 위해 이런 성분들이 부족하지 않도록 늘 신경쓸 것.,"""Please remember to always take care of your hair by ensuring that it receives the necessary nutrients for optimal health."""
24,24,#비오틴 결핍자라면?,"만약 비오틴 결핍이 있다면, 우리는 여기에서 당신을 위해 도움을 줄 수 있습니다."
25,25,탈모 치료제와 함께 드세요!,탈모 치료제를 함께 섭취해보세요!
26,26,"만약 비오틴 결핍으로 인해 손톱이 약해지고, 탈모가 생긴 것이라면 비오틴 영양제 효과를 톡톡히 볼 수 있다.","비오틴 결핍으로 인해 손톱이 약해지고 탈모가 발생한 경우, 비오틴 영양제를 복용하면 뚜렷한 효과를 경험할 수 있습니다."
27,27,물론 한두 번의 비오틴 영양제 복용만으로 해결할 수 있는 건 아니다.,"물론, 한두 번의 비오틴 영양제 복용으로 문제가 해결될 수는 없습니다."
28,28,"최소 3개월 이상 꾸준히 꾸준히 복용하고, 탈모의 경우 전문 또는 일반의약품 탈모 치료제를 함께 사용하면 더 큰 효과를 누릴 수도 있다고 하니 참고할 것.","복용은 최소 3개월 이상 꾸준히 하며, 탈모 치료시 전문 또는 일반의약품 사용도 함께 고려하여 큰 효과를 얻을 수 있습니다."
29,29,콜라겐 효과를 높이는 ‘비오틴’건강기능식품으로 콜라겐을 고를 때 비오틴도 함유된 제품인지 확인 후 선택하자.,비오틴 함유 제품을 선택하면 콜라겐 효과를 더욱 향상시킬 수 있습니다.
30,30,"비오틴은 콜라겐 합성이 잘 되게 하는 영양소로 실제, 비오틴을 체내 투여한 쥐가 콜라겐 합성이 두 배 이상 잘 됐다는 실험 결과가 있다.","비오틴은 콜라겐 합성을 크게 증가시켜주는 영양소로, 실험에서 비오틴을 투여한 쥐들은 콜라겐 합성이 두 배 이상 향상되었다는 것이 확인되었습니다."
31,31,따라서 콜라겐 제품을 고를 때는 식약처에서 기능성을 인정받은 건강기능식품인지 여부와 함께 비오틴 함유 여부도 확인할 것을 권한다.,따라서 콜라겐 제품을 선택할 때는 비오틴 함유 여부와 함께 식약처에서 인정받은 건강기능식품인지 확인해주세요.
32,32,"HOW TO: 비오틴, 이렇게 보충하세요!",비오틴 보충을 위한 방법을 알려드리겠습니다!
33,33,#비오틴이 풍부한 음식은?,어떤 음식이 비오틴이 풍부한지 알고 싶으세요?
34,34,비오틴은 체내에서 생성되지 않아 부족해지면 별도의 보충이 필요하다.,"만약 체내에서 충분히 생성되지 않는다면, 비오틴을 보충하는 것이 필요합니다."
35,35,"비오틴은 비타민B 복합체의 일종이라 계란과 호두, 오리고기, 콩, 견과류, 버섯 등에 풍부하게 들어있다.","비오틴은 계란, 호두, 오리고기, 콩, 견과류, 버섯 등에 많이 함유된 비타민B 복합체입니다."
36,36,"단, 익히지 않은 달걀 흰자에는 장내 비오틴 흡수를 방해하는 아비딘이라는 단백질이 함유되어 있으니 달갈 섭취량이 많다면 노른자만 따로 익혀서 먹을 것.","만약 달걀을 많이 섭취한다면, 달갈을 익혀서 노른자만 먹는 것이 좋은데, 이는 익히지 않은 달걀 흰자에 포함된 단백질인 아비딘이 장내 비오틴 흡수를 방해하기 때문입니다."
37,37,#영양제로 먹을 때는 식전에!비오틴은 소변으로 배출되는 수용성 비타민이다.,"비오틴은 식사 전에 섭취하는 것이 좋으며, 이는 소변으로 배출되는 수용성 비타민입니다."
38,38,이에 식전 복용이 비오틴 흡수 측면에서 조금 더 유리하다.,식사 전에 비오틴을 복용하는 것은 비오틴의 흡수를 더욱 유리하게 할 수 있습니다.
39,39,하지만 평소 위장 장애가 있다면 식후 복용을 권한다.,만약 위장 장애가 있으시다면 식후에 복용하는 것을 권장해드립니다.
40,40,"고함량 비오틴 영양제 섭취 시 심근경색 진단 검사인 트로포닌 테스트는 물론, 갑상선 기능 검사를 포함한 피검사 결과 수치에 오류를 발생시킬 수 있다.",고함량 비오틴 영양제를 섭취하면 심근경색 진단 검사인 트로포닌 테스트와 갑상선 기능 검사 포함한 피검사 결과에 오류가 발생할 수 있습니다.
41,41,이에 평소 비오틴 영양제를 복용하고 있다면 피검사 시 미리 비오틴 복용 여부를 말하는 것이 좋다.,"만약 비오틴 영양제를 복용하고 계신다면, 피검사하기 전에 비오틴 복용 여부를 언급하는 것이 좋을 것입니다."
42,42,이런 사람은 피하세요!,조심해야 할 사람입니다.
43,43,"효모에는 핵산이 풍부한데, 핵산은 ‘통풍’이나 ‘고요산혈증’ 환자의 증상을 심화시킬 수 있으므로 해당 질환을 가진 사람이라면 의사와 상의 후 복용하거나 되도록 복용하지 않는 것이 좋다.","효모는 핵산이 풍부하여, '통풍'이나 '고요산혈증' 환자에게 증상을 악화시킬 수 있으므로 해당 질환을 가진 분들은 의사와 협의 후 복용하거나 되도록 복용하지 않는 것이 좋습니다."
44,44,또 가스가 차거나 소화불량 증상이 있을 수 있으므로 만성 소화불량 환자나 ‘저산증’ 환자도 주의가 필요하다.,"만성 소화불량이나 '저산증' 환자도 주의가 필요하므로, 가스 차거나 소화불량 증상이 다시 나타날 수 있습니다."
45,45,"알고 먹자 영양제②영양 과잉 시대, 칼슘 부족 사태!",영양 과잉 시대에서 칼슘 부족 사태까지 알고 먹자 영양제②!
46,46,KB골든라이프X 연관 기사 보기KB골든라이프X 브리핑 No,"""KB골든라이프X 고객을 위한 브리핑 No 이 연관 기사를 확인하세요."""
47,47,"샌들의 계절, 시선이 머무는 곳은 단연 발뒤꿈치다.",발뒤꿈치는 샌들의 계절에서 가장 눈길을 끄는 곳입니다.
48,48,"피지선이 없어 다른 부위보다 건조하고, 각질이 쉽게 쌓이는 발!","당신의 발은 피지선이 부족하여 다른 부위보다 건조하고, 각질이 쉽게 쌓일 수 있습니다!"
49,49,"붓고, 갈라지고, 각질까지 허옇게 일어난 발을 매끄럽게 하기 위한 팁을 알아보자.",매끄러운 발을 위한 팁을 알아보세요.
50,50,매끈한 발의 기본은 ‘발 씻기’매끈한 발을 유지하기 위한 기본 원칙은 발을 깨끗이 닦는 습관이다.,매끈한 발을 유지하기 위한 가장 중요한 요소는 깨끗하게 발을 씻는 습관입니다.
51,51,"매일 저녁이면 발을 구석구석 깨끗하게 씻고, 피지선이 없어 각질이 쉽게 쌓이는 만큼 발 각질이 쌓이지 않게 주기적으로 제거하는 일 역시 잊으면 안 된다.",매일 저녁마다 주의깊게 발을 세세하게 씻어서 발 각질이 쌓이지 않도록 관리하는 것도 중요합니다.
52,52,족욕과 마사지를 병행하면 한층 더 보드랍고 매끈한 발을 가질 수 있다고 하니 참고할 것.,"참고해보면, 족욕과 마사지를 함께 해주면 더 부드럽고 매끈한 발을 얻을 수 있을 거예요."
53,53,"하나, 제대로 발 씻기발을 씻을 때는 살짝 차갑다 싶은 물로 발 구석구석을 깨끗이 씻는다.",물을 적당히 시원하게 사용하여 발을 깨끗하게 씻어주세요.
54,54,발을 씻은 후에는 수건으로 발에 남은 물기를 남김없이 제거해야 습기로 인한 냄새 발생을 막을 수 있다.,발이 넉넉하게 말끔히 닦혀 진행하면 발생 가능한 냄새로 인한 고통을 덜 수 있어요.
55,55,헤어드라이어의 약한 바람으로 발에 남은 물기를 제거하는 것도 좋은 방법이다.,헤어드라이어의 약한 바람으로 발에 남은 물기를 제거하는 것도 좋은 방법이에요!
56,56,"둘, 주기적으로 족욕과 마사지하기혈액순환과 신진대사가 원활해지는 효과가 있는 족욕은 건조하고 푸석해진 발을 부드럽게 하는 효과도 있다.","족욕과 마사지는 주기적으로 하면 건조하거나 푸석해진 발을 부드럽게 만들어주고, 동시에 혈액순환과 신진대사를 촉진하는 효과도 있습니다."
57,57,"대야에 발목 복사뼈가 푹 잠길 정도로 물을 채우고, 약 15분가량 발을 담그고 있으면 된다.","물을 채운 대야에 발을 담그고, 약 15분 동안 물에 잠기도록 하세요."
58,58,"물 온도는 40℃ 정도의 미지근한 물로 시작, 3~5분이 지나 온도에 적응이 되면 미리 준비한 뜨거운 물을 조금씩 부어 물의 온도를 42~45℃까지 높이는 방법을 추천한다.",물 온도를 미지근한 40℃ 정도에서 시작하여 3~5분이 지나면 고객이 적응할 수 있도록 뜨거운 물을 서서히 추가하여 온도를 42~45℃까지 높일 수 있습니다.
59,59,자주 발이 붓는다면 발 마사지도 주기적으로 할 것.,"만약 자주 발이 붓는다면, 주기적으로 발 마사지를 받아보는 것을 고려해보세요."
60,60,"발 마사지는 몸속에 정체된 노폐물을 몸 밖으로 빠르게 내보내 건강에 좋은 것은 물론이고, 예쁜 발 모양을 만들어주는 데도 효과적이다.",발 마사지는 건강에 도움이 되는 것은 물론이고 예쁜 발 모양을 만들어주기도 한다.
61,61,"발 전체에 보습크림을 넉넉히 바르고 허벅지 안쪽부터 종아리, 아킬레스건까지 꼼꼼하게 주무르되, 복사뼈 뒤에 쏙 들어간 부분과 아킬레스건 뒤는 특히 노폐물이 쌓이기 쉬운 부위니 특히 신경 써서 주물러 줄 것.","발 전체에 충분한 양의 보습 크림을 바르고, 허벅지부터 종아리, 아킬레스건까지 꼼꼼하게 마사지해주세요. 특히 복사뼈 뒷면과 아킬레스건 뒷부분은 노폐물이 쌓일 가능성이 높으므로 특별히 신경 써서 관리해주세요."
62,62,"셋, 마무리는 보습샤워나 족욕 후 얼굴에 보습을 해주듯 발을 씻고 난 뒤에도 크림을 발라줘야 한다.","발을 씻고 난 뒤에도 크림을 발라주시면, 얼굴에 보습을 해주는 것처럼 발도 촉촉해질 수 있어요."
63,63,"풋 크림이나 보디 크림, 보디로션, 뭐든 좋다.","어떤 종류의 크림이나 로션을 원하시든, 언제든 도움이 될 수 있습니다."
64,64,"자꾸만 갈라지는 발이 고민이라면 풋 크림을 바른 다음, 수면 양말을 착용하고 잠자리에 드는 것도 좋은 방법이다.","고객들이 발이 자꾸 갈라져 고민한다면, 풋 크림 바르고 수면 양말을 착용해 잠자는 건 좋은 해결책입니다."
65,65,"발뒤꿈치 각질, 한꺼번에 벗겨내면 안 돼요발뒤꿈치는 발 중에서도 특히 하중이 많이 실리고, 여름에는 대개 노출되어 있는 부위라 굳은살과 각질이 생기기 쉽다.","발뒤꿈치는 하중이 많이 실리고, 여름에는 자주 노출되어 있어서 굳은살과 각질이 생길 수 있어요."
66,66,굳은살과 각질 제거 원칙은 여러 단계로 나눠 제거하는 것.,고객께서는 굳은살과 각질을 제거할 때 여러 단계로 나눠서 제거하는 것이 좋습니다.
67,67,"한 번에 무리해서 제거하면 필요한 각질까지 덩달아 제거해 걸을 때마다 통증을 느끼는 것은 물론, 각질이 더 두껍게 쌓일 수도 있다.#",각질을 한 번에 많이 제거하면 각질이 더 두껍게 쌓여 걷는 데 불편함을 느낄 수도 있습니다.
68,68,굳은살 전용 면도기와 풋 파일로 굳은살과 각질을 없애요,저희는 굳은살 전용 면도기와 풋 파일을 제공하여 굳은살과 각질을 효과적으로 제거해드립니다.
69,69,먼저 두껍고 딱딱해진 굳은살을 제거할 때는 자극이 적고 굳은살이 균일하게 벗겨지는 굳은살 전용 면도기를 사용한다.,두꺼운 굳은살을 제거할 때는 고강도 면도기를 사용하면 자극이 적고 균일하게 벗겨집니다. 이 부분은 고객을 위해 항상 고려해드립니다.
70,70,보기 싫은 마음에 손으로 뜯거나 면도칼로 자르는 경우가 많은데 절대 안 된다.,손으로 뜯거나 면도칼로 자르면 안 되는 일들이 있어요.
71,71,하얗게 일어난 각질은 발이 마른 상태에서 풋 파일로 부드럽게 갈아서 없앤다.,발이 마르면 풋 파일로 부드럽게 갈아내어 하얀 각질을 제거할 수 있습니다.
72,72,물에 불린 상태에서 풋 파일을 사용하면 잘 갈아지지도 않을뿐더러 지나치게 많은 각질을 없애 상처가 날 수 있다.,물에 적신 상태에서 풋 파일을 사용하면 각질이 너무 많이 제거되어 상처가 날 수 있습니다.
73,73,각질이 어느 정도 제거됐다 싶으면 발을 물에 불려 풋 스크럽제로 가볍게 문질러 마무리한다.,각질 제거 후 발을 물에 담가 풋 스크럽으로 부드럽게 문질러 정리해주세요.
74,74,혹은 스크럽제가 없다면 그냥 씻어만 내도 좋다.,"만약 스크럽제가 없다면, 그냥 씻어도 됩니다."
75,75,각질 제거 후에는 크림을 듬뿍 바르고 부드럽게 마사지하면서 충분히 흡수시킨다.#,각질을 제거한 후에는 크림을 다량으로 발라서 부드럽게 마사지하며 충분히 흡수시키는 것이 좋습니다.
76,76,갈라진 뒤꿈치는 꼭 응급처치부터!,응급처치를 위해 꼬부기 된 뒤꿈치를 적절히 관리해야 합니다.
77,77,"각질이 많이 쌓이고, 건조한 상태가 오래 지속되면 발뒤꿈치가 트거나 쩍쩍 갈라질 수 있다.","피부가 많이 건조하고 각질이 쌓이는 경우, 발뒤꿈치가 갈라져서 불편을 느낄 수 있습니다."
78,78,"이런 상태가 되면 보기 싫은 것은 둘째 치고, 그 사이로 세균 감염이 일어나거나 상처가 날 수 있어 응급처치가 꼭 필요하다.",이 상황에서는 세균 감염이 가능하거나 상처가 생길 수 있으므로 응급 처치가 필요합니다.
79,79,증상이 보이면 먼저 발을 깨끗하게 씻은 후 미지근한 물로 깨끗하게 헹군다.,"증상이 있을 경우, 발을 깨끗하게 씻은 후에는 따뜻한 물로 깨끗하게 헹궈주세요."
80,80,이때 항균 효과가 있는 발 전용 세정제를 사용하면 더 좋다.,발 전용 세정제를 사용할 때는 항균 효과가 있는 제품을 선택하는 것이 좋습니다.
81,81,"물기를 깨끗하게 닦은 후, 갈라진 부위의 세균 감염을 막고 재생을 돕는 연고를 바르고, 증상이 호전될 때까지는 양말을 신고 외출하는 등 외부 자극을 줄일 것을 권한다.","물기를 청결하게 닦은 후, 상처 부위에 세균 감염을 방지하고 치유를 돕는 연고를 바르고, 증상이 좋아질 때까지는 양말을 신어 외부 자극을 최소화해주세요."
82,82,복사뼈와 발등에도 관심을 가져야 해요,저희는 고객님의 관심사에 따라 복사뼈와 발등에도 도움을 드릴 수 있습니다.
83,83,대개 발 관리라 하면 발뒤꿈치나 발톱만을 생각한다.,발 관리를 할 때는 발뒤꿈치나 발톱뿐만 아니라 전체 발에 신경을 쓰시는 것이 좋습니다.
84,84,하지만 관리하지 않은 복사뼈와 발등도 발을 지저분해 보이게 하는 요인 중 하나!,"하지만 관리하지 않은 복사뼈와 발등도 발을 지저분해 보이게 하는 요인은 있어도, 이것은 발을 보여주는 모습에 영향을 미치는 것입니다!"
85,85,"복사뼈도 각질이 쌓이면 회색으로 쉽게 변하고, 발등도 각질이 쌓이거나 햇빛을 많이 받으면 얼룩덜룩해지기 쉽다.","복사뼈는 각질이 쌓이면 회색으로 변할 수 있고, 발등도 각질 쌓임이나 햇빛에 노출되면 얼룩덜룩해질 수 있습니다."
86,86,이때는 샤워할 때 복사뼈와 발등에 알갱이가 든 스크럽제를 문질러 각질을 제거해 보자.,"각질을 제거하기 위해, 샤워할 때 복사뼈와 발등에 알갱이가 든 스크럽제를 부드럽게 문질러 보세요."
87,87,"이 과정을 생략하더라도 크림에 오일을 섞어 마사지하듯이 문지르고, 양말을 신고 자면 피부가 한결 부드러워진다.","크림에 오일을 혼합하여 마사지하고, 양말을 신고 자면 피부가 더 부드러워집니다."
88,88,"외출 전에 크림과 자외선 차단제를 섞어 발등과 복사뼈에 바르면 햇빛으로 인한 색 변화는 물론이고, 각질도 쉽게 생기지 않는다고 하니 참고하자","외출하기 전에 발등과 복사뼈에 크림과 자외선 차단제를 섞어 발라주시면, 햇빛으로 인한 색 변화뿐만 아니라 각질도 쉽게 생기지 않아요. 도움이 되었으면 좋겠습니다!"
89,89,"한 5분 걷거나 서 있었는데, 허리가 뻐근하고 저렸던 경험이 있는가?","허리가 뻐근하고 저린 적이 있으신가요, 약 5분 정도 걸거나 서계셨을 때요."
90,90,갑자기 엉덩이뼈가 쑤시거나 하품할 때 턱이 아팠던 적은?,혹시 이전에 엉덩이뼈가 쑤시거나 하품할 때 턱이 아프셨던 적이 있으신가요?
91,91,모두 잘못된 자세로부터 촉발된 질병의 증상들이다.,이 증상들은 모두 부적절한 자세로 인해 발생하는 질병의 결과입니다.
92,92,"다리 꼬기, 턱 괴기 등 무심코 습관처럼 취하는 자세들이 일상생활을 어렵게 만드는 심각한 질병을 초래하기도 한다.",무심코 취하는 자세들은 일상생활을 어렵게 만들 수 있는 심각한 질병을 초래할 수 있습니다. 이를 고객에게 친화적으로 이해하기 쉬운 한 문장으로 바꿔드리겠습니다.
93,93,"잘못된 자세로 인해 생길 수 있는 질병, 그리고 이를 예방할 수 있는 올바른 자세는 무엇일까?","어떤 질병은 잘못된 자세로 인해 발생할 수 있으며, 이를 예방하기 위해서는 올바른 자세를 유지해야 합니다."
94,94,"잘못된 자세 1. 지금, 다리 꼬고 있나요?",지금 다리를 꼬지 않으신가요?
95,95,자리에 앉으면 습관처럼 다리를 꼬는 사람은 ‘이상근증후군’이나 ‘좌골신경통’에 걸릴 가능성이 높다.,"사람들이 자리에 앉으면 습관처럼 다리를 꼬는 경우, 이상근증후군이나 좌골신경통에 걸릴 가능성이 높아진다."
96,96,뒷주머니에 지갑을 넣고 앉는 것도 다리 꼬는 자세와 동일한 질병을 유발할 수 있으니 주의하자.,뒷주머니에 지갑을 넣고 앉는 것도 다리를 꼬는 자세와 같은 질병을 유발할 수 있으므로 주의해야 합니다.
97,97,"허리 디스크 같은, 이상근증후군 & 전기가 오듯 찌릿, 좌골신경통이상근증후군은 이상근에 무리를 줘서 발생하는 질병으로 허리디스크와 비슷한 수준의 통증을 유발한다.","허리 디스크나 이상근증후군은 허리 디스크와 비슷한 수준의 통증을 유발하는 질병으로, 이는 이상근에 무리를 줘서 발생합니다."
98,98,이상근은 엉덩이 뒤쪽에서 척추와 대퇴골에 걸쳐 분포하는 근육으로 엉덩이 관절을 회전시키는 역할을 한다.,이상근은 엉덩이 관절을 회전시키는 역할을 하는 근육입니다.
99,99,"장시간 다리 꼬는 자세를 취하면 이상근 밑으로 지나가는 신경을 압박하며 통증을 일으키는데, 엉덩이 부위를 손으로 누를 때 통증이 느껴지며, 허리와 엉덩이가 뻐근하고, 때때로 다리 저린 증상이 동반되기도 한다.","장시간 다리를 꼬는 자세로 앉으면 통증이 발생하는데, 손으로 엉덩이를 누를 때 불편함을 느끼며, 허리와 엉덩이가 뻐근하고 가끔 다리가 저리기도 합니다."
100,100,"허리 디스크와 유사하지만, 발가락에 힘이 빠지거나 반사 기능이 떨어지는 허리 디스크 증상은 나타나지 않는다고 하니 참고하자.","""허리 디스크와 유사한 증상이지만, 발가락에 힘이 빠지거나 반사 기능이 떨어지지 않는 것을 참고하세요."""
101,101,좌골신경통은 좌골신경이 손상돼 염증이 생기면서 발생한다.,좌골신경통은 좌골신경이 손상되고 염증이 생기면 발생합니다. 그 결과로 아픔이 발생합니다.
102,102,"허벅지 바깥쪽이나 엉덩이로 이어진 후 종아리 바깥쪽과 뒤쪽까지 증상이 내려오는데, 아리거나 전기가 오듯 찌릿한 느낌이 특징이다.","허벅지 바깥쪽부터 엉덩이로 이어지는 증상이 있고, 그로 인해 종아리 바깥쪽과 뒷쪽까지 찌릿한 아리거나 전기가 흐르는 느낌이 느껴집니다."
103,103,"배변할 때나 무거운 것을 들 때, 기침할 때 등 순간적으로 복부 압력이 강하게 오면 통증이 심해진다.√","복부 압력이 강하게 오는 순간, 배변이나 무거운 물건을 들거나 기침할 때 통증이 더 심해지는 경우가 있습니다."
104,104,"저릿저릿한 엉덩이와 허벅지, 스트레칭으로 풀기1. 바닥에 등을 대고 똑바로 누운 뒤, 한쪽 다리를 세워서 살짝 든다.","한쪽 다리를 세우고 배치하여, 바닥에 등을 대고 누울 수 있는 자세를 유지하면서, 엉덩이와 허벅지의 긴장을 완화할 수 있습니다."
105,105,반대편 팔로 세운 무릎을 반대편으로 넘겨 무게를 더하듯 눌러준다. ,무릎을 팔로 넘기면서 무게를 가할 수 있도록 도와드릴게요.
106,106,"3. 이때, 시선은 무릎이 넘어간 반대편을 향하고, 어깨가 뜨지 않도록 주의한다.","시선은 무릎을 넘어 반대편을 향하며, 어깨는 뜨지 않도록 주의합니다."
107,107,반대편도 똑같이 반복한다.,반대편도 동일한 방식으로 반복합니다. 저는 그것을 도와줄 수 있습니다.
108,108,잘못된 자세 2. 쪼그려 앉기는 금물!,고객님은 쪼그려 앉는 자세는 지양해 주시는 것이 좋습니다!
109,109,쪼그려 앉아 일을 하면 무릎 등 하체로 몸무게의 약 9배에 달하는 하중이 전달된다.,"When sitting down, approximately 9 times the weight of your body is exerted on your knees, back, and lower body."
110,110,"그렇기에 장시간 같은 자세를 취할 경우 척추나 무릎에 압박을 줘 관절에 퇴행성 변화를 불러온다. ‘척추관협착증’이나 ‘무릎점액낭염’이 생기기 쉬우며, 보통 엉덩이뼈가 빠질 듯 아프거나 허벅지, 무릎 뒤, 종아리, 발목, 발바닥까지 저리고 쑤시는 증상이 나타난다.","매우 오래 동일한 자세를 유지할 경우 척추나 무릎에 압력이 가해져 관절에 변화가 생길 수 있습니다. 이는 척추관 협착증이나 무릎 점액낭염과 같은 문제를 초래할 수 있습니다. 이에 따라 엉덩이나 허벅지, 무릎 뒤쪽, 종아리, 발목, 발바닥까지 저림과 쑤시는 증상이 나타날 수 있습니다."
111,111,"보통 걸레질, 손빨래 등 집안일을 할 때 이 자세를 자주 취한다.","저희는 보통 집안일을 할 때, 걸레질이나 손빨래를 할 때 이 자세를 자주 취합니다."
112,112,"그러므로 집안일을 하는 방법에도 변화가 필요한데, 손 걸레질 대신 막대 걸레를, 손빨래는 세면대에서 하는 등 의식적으로 쪼그려 앉는 자세를 피할 것.","집안일 방법에도 바꿀 점 있을 것이며, 막대 걸레로 손 걸레질 대신 하고, 세면대에서 손빨래를 하는 등 의식적으로 쪼그려 앉지 않는 자세를 취할 것입니다. 이렇게 하면 고객 친화적인 방식으로 진행할 수 있습니다."
